"","TCGA.AA.3845","TCGA.G4.6588","TCGA.AA.3715","TCGA.CK.6746","TCGA.A6.2676","TCGA.G4.6628","TCGA.CM.6171","TCGA.AA.3949","TCGA.AA.A00J","TCGA.CK.5913","TCGA.F4.6570","TCGA.AZ.4615","TCGA.AA.A02R","TCGA.AZ.6598","TCGA.CK.5916","TCGA.A6.5665","TCGA.AA.3877","TCGA.CM.4743","TCGA.D5.6930","TCGA.A6.5661","TCGA.CM.5861","TCGA.CM.6674","TCGA.CK.4951","TCGA.D5.6530","TCGA.AA.A00E","TCGA.AA.3947","TCGA.AA.3815","TCGA.A6.6653","TCGA.NH.A5IV","TCGA.AA.3821","TCGA.G4.6586","TCGA.AZ.4614","TCGA.AM.5821","TCGA.AU.6004","TCGA.AA.3966","TCGA.AA.A022","TCGA.AA.3492","TCGA.A6.3809","TCGA.AA.3710","TCGA.D5.6927","TCGA.AA.3663","TCGA.AD.6889","TCGA.A6.2686","TCGA.AD.6895","TCGA.G4.6299","TCGA.DM.A1HB","TCGA.AD.5900","TCGA.G4.6304","TCGA.D5.6928","TCGA.AA.3543","TCGA.AY.6197","TCGA.AA.3833","TCGA.AA.3950","TCGA.A6.2672","TCGA.WS.AB45","TCGA.CK.4952","TCGA.F4.6856","TCGA.AA.A01P","TCGA.A6.6780","TCGA.AA.A01Q","TCGA.5M.AAT6","TCGA.AA.3864","TCGA.G4.6309","TCGA.AA.3811","TCGA.CK.6751","TCGA.AA.3713","TCGA.D5.7000","TCGA.CM.6168","TCGA.G4.6302","TCGA.CM.6162","TCGA.DM.A1DA","TCGA.F4.6461","TCGA.AZ.6601","TCGA.A6.6649","TCGA.CA.5796","TCGA.AA.A010","TCGA.AY.6196","TCGA.AA.A00A","TCGA.G4.6320","TCGA.G4.6321","TCGA.AZ.6607","TCGA.AZ.4313","TCGA.AA.3854","TCGA.AA.3852","TCGA.CK.6747","TCGA.D5.6931","TCGA.AA.3684","TCGA.AA.3695","TCGA.DM.A1D8","TCGA.F4.6704","TCGA.F4.6703","TCGA.CK.4947","TCGA.CM.4748","TCGA.AA.A029","TCGA.CK.4950","TCGA.A6.5664","TCGA.A6.3808","TCGA.AA.3675","TCGA.D5.6920","TCGA.AY.6386","TCGA.AA.3510","TCGA.D5.6531","TCGA.AA.3842","TCGA.AZ.6606","TCGA.CM.5863","TCGA.AA.A01D","TCGA.AA.3930","TCGA.AA.3831","TCGA.AA.3941","TCGA.G4.6295","TCGA.D5.6534","TCGA.AA.3681","TCGA.CK.5915","TCGA.D5.6538","TCGA.AA.A03F","TCGA.4T.AA8H","TCGA.AZ.4323","TCGA.AA.3870","TCGA.AA.A00O","TCGA.A6.6652","TCGA.CA.5254","TCGA.F4.6569","TCGA.AA.3980","TCGA.A6.2674","TCGA.DM.A28K","TCGA.F4.6463","TCGA.AD.6548","TCGA.AA.3984","TCGA.A6.2679","TCGA.CM.4751","TCGA.AZ.6600","TCGA.F4.6805","TCGA.CM.6167","TCGA.AA.3986","TCGA.AA.3818","TCGA.AA.3837","TCGA.A6.2671","TCGA.AA.3850","TCGA.CM.6677","TCGA.AA.A004","TCGA.CA.5255","TCGA.DM.A0X9","TCGA.AA.A00K","TCGA.G4.6627","TCGA.CM.4744","TCGA.A6.2678","TCGA.AY.A71X","TCGA.DM.A280","TCGA.A6.2685","TCGA.D5.6529","TCGA.AA.3527","TCGA.A6.5657","TCGA.AZ.6599","TCGA.AA.3858","TCGA.AA.3812","TCGA.AZ.4684","TCGA.CM.6678","TCGA.AA.3680","TCGA.A6.6654","TCGA.AA.3524","TCGA.CM.6680","TCGA.AA.3673","TCGA.A6.6651","TCGA.AA.3696","TCGA.AA.3979","TCGA.G4.6297","TCGA.AA.3855","TCGA.AA.3525","TCGA.DM.A28C","TCGA.AA.3520","TCGA.A6.2684","TCGA.AA.3655","TCGA.5M.AAT4","TCGA.DM.A28G","TCGA.CM.6165","TCGA.AA.3841","TCGA.AA.3488","TCGA.D5.6536","TCGA.AA.3848","TCGA.AA.3861","TCGA.AA.3662","TCGA.AA.3506","TCGA.D5.6898","TCGA.AA.A01Z","TCGA.AA.A00D","TCGA.AZ.5407","TCGA.F4.6854","TCGA.AA.3489","TCGA.G4.6322","TCGA.AZ.4308","TCGA.AA.3517","TCGA.F4.6807","TCGA.NH.A6GB","TCGA.AA.3526","TCGA.A6.4105","TCGA.AA.3502","TCGA.AA.3521","TCGA.D5.5538","TCGA.CM.6161","TCGA.AA.3522","TCGA.CA.6716","TCGA.QL.A97D","TCGA.AA.A00U","TCGA.DM.A28M","TCGA.F4.6855","TCGA.DM.A1D6","TCGA.AA.A01G","TCGA.D5.6539","TCGA.AA.3667","TCGA.AA.3660","TCGA.CK.4948","TCGA.AA.A01I","TCGA.AA.3530","TCGA.D5.6924","TCGA.AA.3856","TCGA.D5.6541","TCGA.AA.A024","TCGA.AA.3494","TCGA.AA.3875","TCGA.AD.6899","TCGA.CM.5348","TCGA.A6.5660","TCGA.AA.3952","TCGA.CM.5864","TCGA.F4.6809","TCGA.G4.6314","TCGA.AD.6901","TCGA.G4.6323","TCGA.AA.3968","TCGA.G4.6303","TCGA.3L.AA1B","TCGA.CM.6675","TCGA.NH.A6GA","TCGA.D5.6923","TCGA.DM.A288","TCGA.AA.A00L","TCGA.CM.5341","TCGA.AM.5820","TCGA.A6.2682","TCGA.G4.6625","TCGA.CM.6676","TCGA.DM.A28E","TCGA.AA.3549","TCGA.G4.6293","TCGA.CM.4746","TCGA.D5.6537","TCGA.AA.A02J","TCGA.AZ.4616","TCGA.D5.5541","TCGA.AA.3511","TCGA.AA.3867","TCGA.A6.6650","TCGA.AA.3544","TCGA.CM.6169","TCGA.A6.6142","TCGA.A6.A5ZU","TCGA.DM.A0XD","TCGA.CM.5860","TCGA.G4.6298","TCGA.NH.A6GC","TCGA.D5.6932","TCGA.AY.4070","TCGA.AA.A01F","TCGA.A6.3810","TCGA.RU.A8FL","TCGA.DM.A1D7","TCGA.AA.3560","TCGA.AA.3697","TCGA.DM.A1D9","TCGA.D5.6922","TCGA.AA.A02F","TCGA.SS.A7HO","TCGA.AA.3982","TCGA.A6.5659","TCGA.AA.3538","TCGA.A6.6138","TCGA.CM.5344","TCGA.D5.6533","TCGA.AA.3516","TCGA.D5.6532","TCGA.A6.5662","TCGA.AA.3971","TCGA.AA.3976","TCGA.AA.3496","TCGA.AA.3531","TCGA.A6.6137","TCGA.G4.6315","TCGA.CM.6163","TCGA.AA.3973","TCGA.AA.3862","TCGA.F4.6806","TCGA.AD.6965","TCGA.AA.3519","TCGA.AA.3872","TCGA.AA.3495","TCGA.AA.3553","TCGA.AA.3844","TCGA.CM.5349","TCGA.AA.3970","TCGA.A6.4107","TCGA.AA.3561","TCGA.AZ.5403","TCGA.AA.A02W","TCGA.CM.4750","TCGA.D5.5539","TCGA.AA.A01K","TCGA.AA.A00Z","TCGA.AA.3692","TCGA.A6.5666","TCGA.A6.5667","TCGA.AA.A03J","TCGA.CA.5256","TCGA.A6.2675","TCGA.CM.5862","TCGA.AY.A69D","TCGA.AA.A02E","TCGA.AZ.4681","TCGA.AA.3509","TCGA.AA.A02H","TCGA.AA.3819","TCGA.AA.3814","TCGA.AA.3846","TCGA.CK.6748","TCGA.AA.3866","TCGA.AA.3989","TCGA.AA.3532","TCGA.AA.3712","TCGA.AA.3955","TCGA.AY.4071","TCGA.AA.A00F","TCGA.CM.5868","TCGA.5M.AATE","TCGA.AA.3975","TCGA.DM.A28H","TCGA.CM.6164","TCGA.A6.6648","TCGA.AZ.6603","TCGA.D5.6535","TCGA.CA.6715","TCGA.AA.3552","TCGA.AD.6890","TCGA.AA.3939","TCGA.A6.2677","TCGA.AZ.4682","TCGA.NH.A50U","TCGA.AA.3678","TCGA.DM.A28A","TCGA.AY.A8YK","TCGA.A6.6782","TCGA.F4.6808","TCGA.F4.6459","TCGA.AD.6963","TCGA.AA.3542","TCGA.DM.A28F","TCGA.DM.A1HA","TCGA.AY.5543","TCGA.AA.A00W","TCGA.DM.A1D4","TCGA.CA.6719","TCGA.AA.3693","TCGA.AD.6888","TCGA.DM.A1D0","TCGA.AZ.6605","TCGA.G4.6310","TCGA.D5.5537","TCGA.CM.4747","TCGA.D5.5540","TCGA.D5.6926","TCGA.G4.6311","TCGA.AA.3688","TCGA.G4.6626","TCGA.CA.5797","TCGA.AA.3869","TCGA.CM.6170","TCGA.AA.3679","TCGA.CK.5912","TCGA.AA.A00Q","TCGA.AA.A01C","TCGA.CM.6172","TCGA.G4.6306","TCGA.NH.A8F8","TCGA.A6.6140","TCGA.DM.A282","TCGA.G4.6294","TCGA.NH.A8F7","TCGA.CM.4752","TCGA.DM.A0XF","TCGA.DM.A285","TCGA.AA.A017","TCGA.AA.3851","TCGA.AU.3779","TCGA.AA.3548","TCGA.G4.6307","TCGA.AA.A02K","TCGA.CM.6166","TCGA.AZ.6608","TCGA.CK.5914","TCGA.CM.6679","TCGA.D5.6929","TCGA.A6.5656","TCGA.F4.6460","TCGA.G4.6317","TCGA.4N.A93T","TCGA.T9.A92H","TCGA.DM.A1DB"
"BRAF_MISSENSE","","MISSENSE","MISSENSE","MISSENSE","","MISSENSE","MISSENSE","MISSENSE","","","MISSENSE","MISSENSE","MISSENSE","MISSENSE","","MISSENSE","MISSENSE","","MISSENSE","MISSENSE","MISSENSE","","MISSENSE","","","MISSENSE","MISSENSE","MISSENSE","","MISSENSE","MISSENSE","MISSENSE","MISSENSE","MISSENSE","MISSENSE","MISSENSE","MISSENSE","MISSENSE","","","","MISSENSE","MISSENSE","","MISSENSE","MISSENSE","MISSENSE","","MISSENSE","","","MISSENSE","","","","MISSENSE","","MISSENSE","","","","","","","","MISSENSE","","","MISSENSE","","MISSENSE","","","MISSENSE","","","MISSENSE","","","MISSENSE","","","","","MISSENSE","","MISSENSE","","","","","","","","","","","","","","","","","","","","","","","","MISSENSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MISSENSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MISSENSE","","","","","","","","","","","","","","","","","","","","","","","MISSENSE","","","","","","","","","","","","MISSENSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PTPRK_MISSENSE","MISSENSE","","MISSENSE","","","","","","","MISSENSE","","MISSENSE","MISSENSE","","","","","MISSENSE","","","","MISSENSE","","","","MISSENSE","MISSENSE","","","","","","","","","","","MISSENSE","","","","","","MISSENSE","","","","MISSENSE","","","MISSENSE","","","","MISSENSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MISSENSE","","MISSENSE","","","","","","","","","","","","MISSENSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MISSENSE","","","","","","","","","","","","MISSENSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MISSENSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"POLD1_MISSENSE","","MISSENSE","","","","","","MISSENSE","","MISSENSE","MISSENSE","","","","","","","","","MISSENSE","","","MISSENSE","","","MISSENSE","","","MISSENSE","","","","","","","","","MISSENSE","","MISSENSE","","","","","","","MISSENSE","","","","MISSENSE","","","","MISSENSE","","","","MISSENSE","","MISSENSE","","","","MISSENSE","","","","","MISSENSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RNF43_TRUNCATING","","TRUNCATING","","","","TRUNCATING","","","","TRUNCATING","","TRUNCATING","","","TRUNCATING","","","","TRUNCATING","TRUNCATING","","TRUNCATING","TRUNCATING","","","TRUNCATING","","TRUNCATING","TRUNCATING","","","","","TRUNCATING","","TRUNCATING","TRUNCATING","","","","TRUNCATING","TRUNCATING","TRUNCATING","TRUNCATING","TRUNCATING","","","","TRUNCATING","","","","","","TRUNCATING","","","","","","TRUNCATING","","","","","","","","TRUNCATING","TRUNCATING","","","","TRUNCATING","TRUNCATING","","","","","","","","","","TRUNCATING","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ALK_MISSENSE","MISSENSE","","MISSENSE","","","","","","","","","","","","","","","","","","","","","MISSENSE","","MISSENSE","","","MISSENSE","","","MISSENSE","","","","","","","","","MISSENSE","","","","","","","MISSENSE","","","","","MISSENSE","","","","","MISSENSE","","","MISSENSE","","","MISSENSE","","","","","","","","","","","","MISSENSE","","","","","","","","","","","","","","","","","","","","","","","","","MISSENSE","","","","","","","","","MISSENSE","","","","","","","","","","","","","","","","","","","","","","","","","MISSENSE","","","","","","","","","","","","","","","","","","","MISSENSE","","","","","","","","","","","","","","","","","","","MISSENSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MISSENSE","","","","","","","","","","","","","","","","","MISSENSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
