"","x"
"TCGA.AA.3845",0.878855203274997
"TCGA.G4.6588",0.874513458375333
"TCGA.AA.3715",0.870969720630874
"TCGA.CK.6746",0.870673729478845
"TCGA.A6.2676",0.869896780927588
"TCGA.G4.6628",0.867108839779286
"TCGA.CM.6171",0.865640950872736
"TCGA.AA.3949",0.849060201752878
"TCGA.AA.A00J",0.845950074778506
"TCGA.CK.5913",0.843756496020926
"TCGA.F4.6570",0.840742195917618
"TCGA.AZ.4615",0.838849883531214
"TCGA.AA.A02R",0.836869946344252
"TCGA.AZ.6598",0.81890836698145
"TCGA.CK.5916",0.816098282145585
"TCGA.A6.5665",0.814626617037049
"TCGA.AA.3877",0.808145914270325
"TCGA.CM.4743",0.807005178929758
"TCGA.D5.6930",0.806663154138209
"TCGA.A6.5661",0.802031037270256
"TCGA.CM.5861",0.800800652975682
"TCGA.CM.6674",0.79731449434109
"TCGA.CK.4951",0.797137547348109
"TCGA.D5.6530",0.787522501299451
"TCGA.AA.A00E",0.78297964400861
"TCGA.AA.3947",0.781672528083452
"TCGA.AA.3815",0.781314524990092
"TCGA.A6.6653",0.78013809467166
"TCGA.NH.A5IV",0.775728877544036
"TCGA.AA.3821",0.773453055095966
"TCGA.G4.6586",0.772357498151978
"TCGA.AZ.4614",0.770826701797337
"TCGA.AM.5821",0.762427699863185
"TCGA.AU.6004",0.761893591540661
"TCGA.AA.3966",0.761008053946148
"TCGA.AA.A022",0.760576136391715
"TCGA.AA.3492",0.758662238077301
"TCGA.A6.3809",0.758630131892598
"TCGA.AA.3710",0.7576037062369
"TCGA.D5.6927",0.750563601296842
"TCGA.AA.3663",0.749054994633362
"TCGA.AD.6889",0.747435623827434
"TCGA.A6.2686",0.744633923496859
"TCGA.AD.6895",0.744431808619311
"TCGA.G4.6299",0.743366859677251
"TCGA.DM.A1HB",0.740941984745404
"TCGA.AD.5900",0.738139925145822
"TCGA.G4.6304",0.73489028694498
"TCGA.D5.6928",0.73149218189157
"TCGA.AA.3543",0.728656403110995
"TCGA.AY.6197",0.724533495947253
"TCGA.AA.3833",0.723281647651547
"TCGA.AA.3950",0.715405473885171
"TCGA.A6.2672",0.715096064012548
"TCGA.WS.AB45",0.705269331959358
"TCGA.CK.4952",0.703755159248085
"TCGA.F4.6856",0.702665459705146
"TCGA.AA.A01P",0.692355038365286
"TCGA.A6.6780",0.69040564535892
"TCGA.AA.A01Q",0.686456609457031
"TCGA.5M.AAT6",0.686199055552055
"TCGA.AA.3864",0.68581146571859
"TCGA.G4.6309",0.683147833520667
"TCGA.AA.3811",0.678090733616169
"TCGA.CK.6751",0.676705070012591
"TCGA.AA.3713",0.670904149375024
"TCGA.D5.7000",0.668411786056383
"TCGA.CM.6168",0.657103057827299
"TCGA.G4.6302",0.653272686380383
"TCGA.CM.6162",0.653140857021727
"TCGA.DM.A1DA",0.652126944996558
"TCGA.F4.6461",0.641961829003519
"TCGA.AZ.6601",0.629315211232195
"TCGA.A6.6649",0.622611553344026
"TCGA.CA.5796",0.609109985673745
"TCGA.AA.A010",0.598743863658931
"TCGA.AY.6196",0.595303932021177
"TCGA.AA.A00A",0.582398322783844
"TCGA.G4.6320",0.581977703884231
"TCGA.G4.6321",0.577666454803303
"TCGA.AZ.6607",0.559898917816397
"TCGA.AZ.4313",0.559865001015752
"TCGA.AA.3854",0.546249014994363
"TCGA.AA.3852",0.545851035523005
"TCGA.CK.6747",0.541043689920035
"TCGA.D5.6931",0.540032950003861
"TCGA.AA.3684",0.539024885358839
"TCGA.AA.3695",0.53837381236591
"TCGA.DM.A1D8",0.519938546723693
"TCGA.F4.6704",0.518334415405333
"TCGA.F4.6703",0.509224179155836
"TCGA.CK.4947",0.498207589986909
"TCGA.CM.4748",0.498002804484275
"TCGA.AA.A029",0.497395052652702
"TCGA.CK.4950",0.496056449072884
"TCGA.A6.5664",0.494197363056657
"TCGA.A6.3808",0.493789568052433
"TCGA.AA.3675",0.492619417471586
"TCGA.D5.6920",0.492279472348227
"TCGA.AY.6386",0.486980964612154
"TCGA.AA.3510",0.483862751748845
"TCGA.D5.6531",0.478275627550972
"TCGA.AA.3842",0.476392147912967
"TCGA.AZ.6606",0.475744771488673
"TCGA.CM.5863",0.473105625748006
"TCGA.AA.A01D",0.471145565151705
"TCGA.AA.3930",0.466445698006557
"TCGA.AA.3831",0.465260690059087
"TCGA.AA.3941",0.463768306515927
"TCGA.G4.6295",0.461706403521352
"TCGA.D5.6534",0.461484359780153
"TCGA.AA.3681",0.457587890634281
"TCGA.CK.5915",0.45542812054033
"TCGA.D5.6538",0.452287120011622
"TCGA.AA.A03F",0.451199557540707
"TCGA.4T.AA8H",0.44517160771348
"TCGA.AZ.4323",0.44438633403018
"TCGA.AA.3870",0.443505901284599
"TCGA.AA.A00O",0.441302852355498
"TCGA.A6.6652",0.437918217168888
"TCGA.CA.5254",0.437871134569275
"TCGA.F4.6569",0.437395542578882
"TCGA.AA.3980",0.433377024921244
"TCGA.A6.2674",0.430844992712435
"TCGA.DM.A28K",0.43056951372191
"TCGA.F4.6463",0.428315487785883
"TCGA.AD.6548",0.427871595331504
"TCGA.AA.3984",0.42514504790865
"TCGA.A6.2679",0.423723322910557
"TCGA.CM.4751",0.423303555218589
"TCGA.AZ.6600",0.42327835393993
"TCGA.F4.6805",0.420395135744796
"TCGA.CM.6167",0.416928671406803
"TCGA.AA.3986",0.411641272722695
"TCGA.AA.3818",0.40949908629364
"TCGA.AA.3837",0.40835364902865
"TCGA.A6.2671",0.407533682380669
"TCGA.AA.3850",0.407509560048053
"TCGA.CM.6677",0.404862846989246
"TCGA.AA.A004",0.404329233428426
"TCGA.CA.5255",0.403081832841672
"TCGA.DM.A0X9",0.401332853311873
"TCGA.AA.A00K",0.400071285209944
"TCGA.G4.6627",0.399015799670117
